,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
0,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,1510.0,1510.0,0.0,14670.0,9.72,616.45,9043263.0
1,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5270000,Alpiste,11.0,11.0,0.0,22.0,2.0,530.0,11660.0
2,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,2536.0,2520.0,16.0,58304.0,23.14,10.19,594088.0
3,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5670000,Brócoli,118.0,118.0,0.0,2285.0,19.36,136.87,312759.0
4,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,80.0,80.0,0.0,2276.0,28.45,13.0,29588.0
5,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,30.0,30.0,0.0,286.0,9.53,60.04,17172.0
6,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6070000,Chícharo,8.0,8.0,0.0,51.0,6.38,222.04,11324.0
7,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6190000,Cilantro,7.0,7.0,0.0,11.0,1.57,221.82,2440.0
8,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6310000,Col (repollo),77.0,77.0,0.0,2289.0,29.73,55.87,127882.0
9,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,6320000,Col de bruselas,25.0,25.0,0.0,375.0,15.0,330.0,123750.0
10,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,7330000,Lechuga,15.0,15.0,0.0,259.0,17.27,48.61,12590.0
11,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,8210000,Pepino,2.0,0.0,2.0,0.0,0.0,0.0,0.0
12,1987,1,Aguascalientes,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,13.0,13.0,0.0,35.0,2.69,124.71,4365.0
13,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,130.0,130.0,0.0,3131.0,24.08,13.22,41384.0
14,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5670000,Brócoli,472.0,456.0,16.0,4754.0,10.43,201.7,958893.0
15,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,123.0,122.0,1.0,1809.0,14.83,109.4,197909.0
16,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,9.0,9.0,0.0,201.0,22.33,147.57,29661.0
17,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,5940000,Cebolla,91.0,88.0,3.0,1072.0,12.18,135.88,145660.0
18,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,7.0,7.0,0.0,35.0,5.0,303.14,10610.0
19,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,1205.0,1195.0,10.0,6092.0,5.1,322.55,1965004.0
20,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,3.0,3.0,0.0,26.0,8.67,235.77,6130.0
21,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),145.0,138.0,7.0,5207.0,37.73,102.21,532215.0
22,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6330000,Coliflor,100.0,100.0,0.0,1742.0,17.42,190.69,332190.0
23,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6610000,Elote,45.0,30.0,15.0,365.0,12.17,108.03,39430.0
24,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,4568.0,4512.0,56.0,6739.0,1.49,433.46,2921078.0
25,1987,1,Aguascalientes,2,Primavera-Verano,1,Riego,200201,Tonelada,7330000,Lechuga,39.0,39.0,0.0,519.0,13.31,81.67,42387.0
